,Class,Location
791,K,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/K/P2_001.jpg
1293,Q,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/Q/P4_003.jpg
2245,V,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/V/P5_003.jpg
1650,N,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/N/P4_006.jpg
52,W,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/W/P4_004.jpg
143,Z,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/Z/P3_001.jpg
825,I,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/I/P2_007.jpg
2816,B,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/B/P3_008.jpg
3322,O,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/O/P5_006.jpg
153,Z,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/Z/P1_007.jpg
1385,S,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/S/P2_006.jpg
3935,H,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/H/P5_004.jpg
408,V,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/V/P4_008.jpg
1404,Y,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/Y/P5_004.jpg
672,F,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/F/P1_008.jpg
2028,D,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/D/P2_004.jpg
3187,Z,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/Z/P2_005.jpg
1851,C,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/C/P4_005.jpg
2136,U,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/U/P3_008.jpg
259,T,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/T/P3_005.jpg
3373,W,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/W/P4_003.jpg
1242,T,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/T/P5_006.jpg
1769,K,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/K/P4_007.jpg
857,C,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/C/P3_008.jpg
1745,H,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/H/P2_007.jpg
2734,L,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/L/P4_002.jpg
2503,J,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/J/P3_001.jpg
2318,T,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/T/P1_002.jpg
35,Y,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/Y/P1_005.jpg
4071,A,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/A/P3_005.jpg
4144,B,/content/drive/MyDrive/HGM-4/HGM-1.0/Below_CAM/B/P4_002.jpg
842,C,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/C/P5_006.jpg
869,C,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/C/P2_004.jpg
618,J,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/J/P3_006.jpg
2137,U,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/U/P3_007.jpg
963,A,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/A/P5_005.jpg
863,C,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/C/P3_002.jpg
1877,C,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/C/P1_003.jpg
386,Q,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/Q/P2_006.jpg
1247,T,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/T/P5_001.jpg
1766,K,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/K/P5_002.jpg
256,T,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/T/P3_008.jpg
899,D,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/D/P3_005.jpg
58,W,/content/drive/MyDrive/HGM-4/HGM-1.0/Left_CAM/W/P3_006.jpg
2325,Z,/content/drive/MyDrive/HGM-4/HGM-1.0/Front_CAM/Z/P5_003.jpg
1264,T,/content/drive/MyDrive/HGM-4/HGM-1.0/Right_CAM/T/P2_008.jpg
